hefei01,20277,R0
edwards01,20273,R0
nyalesund01,20150,R0
orleans01,20149,R0
xianghe01,20139,R0
rikubetsu01,20138,R0
parkfalls01,20137,R0
karlsruhe01,20136,R0
jpl02,20135,R0
jpl01,20134,R0
bremen01,20133,R0
reunion01,20131,R0
paris01,20130,R0
manaus01,20129,R0
fourcorners01,20128,R0
pasadena01,20127,R0
tsukuba02,20126,R0
sodankyla01,20125,R0
nicosia01,20124,R0
lamont01,20123,R0
lauder03,20122,R0
lauder02,20121,R0
lauder01,20120,R0
saga01,20117,R0
izana01,20242,R1
burgos01,20093,R0
easttroutlake01,20114,R0
indianapolis01,20284,R1
